Process ID	Creation Time	Priority	Scheduled	Pre-empted	Executed Completely
0		0		1		0		N/A		5
1		5		3		5		155		N/A
1		5		3		155		305		N/A
3		305		2		305		405		N/A
3		305		2		405		N/A		452
1		5		3		452		602		N/A
1		5		3		602		N/A		692
7		692		4		692		892		N/A
7		692		4		892		1092		N/A
7		692		4		1092		N/A		1160
6		602		4		1160		1360		N/A
6		602		4		1360		1560		N/A
6		602		4		1560		N/A		1708
9		1708		3		1708		1858		N/A
9		1708		3		1858		2008		N/A
9		1708		3		2008		N/A		2011
10		2011		4		2011		2211		N/A
10		2011		4		2211		N/A		2313
2		155		4		2313		2513		N/A
2		155		4		2513		2713		N/A
2		155		4		2713		N/A		2892
12		2892		2		2892		2992		N/A
12		2892		2		2992		3092		N/A
12		2892		2		3092		N/A		3178
13		3178		1		3178		3228		N/A
13		3178		1		3228		3278		N/A
13		3178		1		3278		3328		N/A
13		3178		1		3328		3378		N/A
13		3178		1		3378		3428		N/A
13		3178		1		3428		3478		N/A
13		3178		1		3478		3528		N/A
13		3178		1		3528		3578		N/A
13		3178		1		3578		3628		N/A
13		3178		1		3628		3678		N/A
13		3178		1		3678		3728		N/A
13		3178		1		3728		3778		N/A
13		3178		1		3778		3828		N/A
13		3178		1		3828		N/A		3869
